slug,yemek,dosya,lisans,eser_sahibi,kaynak_dosya_adi,kaynak_sayfa
tavuk-corbasi,"Tavuk Çorbası (1 Kase, 250g)",tavuk-corbasi.jpg,"CC BY-SA 4.0","E4024","Tavuk çorbası (potato and carrot).jpg","https://commons.wikimedia.org/wiki/File:Tavuk_%C3%A7orbas%C4%B1_(potato_and_carrot).jpg"
dugun-corbasi,"Düğün Çorbası (1 Kase, 250g)",dugun-corbasi.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Düğün çorbası","https://tr.wikipedia.org/wiki/D%C3%BC%C4%9F%C3%BCn%20%C3%A7orbas%C4%B1"
paca-corbasi,"Paça Çorbası (1 Kase, 250g)",paca-corbasi.jpg,"CC BY-SA 4.0","Jwslubbock","Kelle paça çorbası - head and leg soup.jpg","https://commons.wikimedia.org/wiki/File:Kelle_pa%C3%A7a_%C3%A7orbas%C4%B1_-_head_and_leg_soup.jpg"
sebze-corbasi,"Sebze Çorbası (1 Kase, 250g)",sebze-corbasi.jpg,"CC BY-SA 4.0","E4024","Kremalı sebze çorbası.jpg","https://commons.wikimedia.org/wiki/File:Kremal%C4%B1_sebze_%C3%A7orbas%C4%B1.jpg"
brokoli-corbasi,"Brokoli Çorbası (1 Kase, 250g)",brokoli-corbasi.jpg,"CC BY-SA 4.0","E4024","Brokoli.jpg","https://commons.wikimedia.org/wiki/File:Brokoli.jpg"
sehriye-corbasi,"Şehriye Çorbası (1 Kase, 250g)",sehriye-corbasi.jpg,"CC BY-SA 4.0","E4024","Tavuklu şehriye çorbası.jpg","https://commons.wikimedia.org/wiki/File:Tavuklu_%C5%9Fehriye_%C3%A7orbas%C4%B1.jpg"
toyga-corbasi,"Toyga Çorbası (1 Kase, 250g)",toyga-corbasi.jpg,"CC BY-SA 4.0","E4024","Toyga.jpg","https://commons.wikimedia.org/wiki/File:Toyga.jpg"
anali-kizli-corbasi,"Analı Kızlı Çorbası (1 Kase, 250g)",anali-kizli-corbasi.jpg,"CC BY-SA 4.0","Yemekta","Analı Kızlı Köfte.jpg","https://commons.wikimedia.org/wiki/File:Anal%C4%B1_K%C4%B1zl%C4%B1_K%C3%B6fte.jpg"
yogurt-corbasi,"Yoğurt Çorbası (1 Kase, 250g)",yogurt-corbasi.jpg,"(Wikipedia lead image — Commons dosya sayfasından lisans doğrula)","","wiki:tr:Yayla çorbası","https://tr.wikipedia.org/wiki/Yayla%20%C3%A7orbas%C4%B1"
balik-corbasi,"Balık Çorbası (1 Kase, 250g)",balik-corbasi.jpg,"CC BY-SA 4.0","E4024","Fish soup (Balık çorbası).jpg","https://commons.wikimedia.org/wiki/File:Fish_soup_(Bal%C4%B1k_%C3%A7orbas%C4%B1).jpg"
izmir-kofte,"İzmir Köfte (1 Porsiyon, 250g)",izmir-kofte.jpg,"CC BY-SA 4.0","E4024","Izmir köfte in Ankara.jpg","https://commons.wikimedia.org/wiki/File:Izmir_k%C3%B6fte_in_Ankara.jpg"
